iter	Passed	Remaining
588	963	1490
589	965	1488
590	966	1487
591	968	1485
592	969	1483
593	971	1481
594	973	1480
595	975	1479
596	977	1477
597	978	1475
598	980	1474
599	981	1472
600	983	1470
601	984	1468
602	986	1467
603	987	1465
604	989	1464
605	991	1462
606	992	1460
607	994	1458
608	995	1456
609	997	1455
610	998	1453
611	1000	1451
612	1002	1450
613	1003	1448
614	1005	1446
615	1007	1445
616	1008	1443
617	1010	1441
618	1011	1439
619	1013	1438
620	1014	1436
621	1016	1434
622	1018	1433
623	1019	1431
624	1021	1429
625	1022	1428
626	1024	1426
627	1026	1425
628	1027	1423
629	1029	1421
630	1030	1419
631	1032	1417
632	1034	1416
633	1036	1415
634	1037	1413
635	1039	1412
636	1041	1410
637	1043	1409
638	1044	1407
639	1046	1405
640	1047	1404
641	1049	1402
642	1051	1400
643	1052	1399
644	1054	1397
645	1056	1396
646	1057	1394
647	1059	1392
648	1060	1390
649	1062	1389
650	1063	1387
651	1065	1385
652	1067	1384
653	1068	1382
654	1070	1380
655	1072	1379
656	1074	1378
657	1075	1376
658	1078	1375
659	1079	1374
660	1081	1372
661	1082	1370
662	1084	1369
663	1086	1367
664	1088	1366
665	1089	1364
666	1091	1362
667	1093	1361
668	1094	1360
669	1096	1358
670	1098	1356
671	1099	1355
672	1101	1353
673	1102	1351
674	1104	1350
675	1106	1348
676	1108	1347
677	1109	1345
678	1111	1344
679	1113	1342
680	1114	1340
681	1116	1338
682	1117	1337
683	1119	1335
684	1121	1334
685	1123	1333
686	1125	1331
687	1127	1330
688	1129	1329
689	1131	1328
690	1133	1326
691	1134	1325
692	1136	1323
693	1139	1323
694	1141	1321
695	1143	1320
696	1144	1318
697	1146	1317
698	1148	1315
699	1150	1314
700	1151	1312
701	1153	1311
702	1156	1310
703	1157	1309
704	1159	1307
705	1161	1305
706	1162	1304
707	1164	1302
708	1166	1301
709	1167	1299
710	1169	1297
711	1171	1296
712	1172	1294
713	1174	1292
714	1176	1291
715	1178	1289
716	1179	1288
717	1181	1286
718	1183	1285
719	1185	1283
720	1187	1282
721	1189	1282
722	1191	1280
723	1194	1280
724	1196	1279
725	1198	1277
726	1200	1276
727	1202	1275
728	1204	1274
729	1206	1272
730	1208	1270
731	1209	1269
732	1211	1267
733	1212	1265
734	1214	1263
735	1215	1262
736	1217	1260
737	1219	1258
738	1220	1257
739	1222	1255
740	1223	1253
741	1225	1252
742	1227	1250
743	1228	1248
744	1230	1246
745	1231	1244
746	1233	1243
747	1235	1241
748	1236	1240
749	1238	1238
750	1239	1236
751	1241	1234
752	1242	1232
753	1244	1231
754	1245	1229
755	1247	1227
756	1248	1225
757	1250	1224
758	1252	1222
759	1253	1220
760	1255	1219
761	1256	1217
762	1258	1215
763	1259	1213
764	1261	1211
765	1262	1209
766	1264	1208
767	1265	1206
768	1267	1204
769	1268	1202
770	1270	1201
771	1271	1199
772	1273	1197
773	1275	1196
774	1276	1194
775	1278	1192
776	1279	1190
777	1281	1189
778	1282	1187
779	1284	1185
780	1286	1184
781	1287	1182
782	1289	1180
783	1290	1178
784	1292	1177
785	1293	1175
786	1295	1173
787	1297	1171
788	1298	1170
789	1300	1168
790	1301	1166
791	1302	1164
792	1304	1162
793	1305	1160
794	1307	1159
795	1308	1157
796	1310	1155
797	1311	1154
798	1313	1152
799	1315	1150
800	1316	1148
801	1318	1147
802	1319	1145
803	1321	1143
804	1323	1142
805	1324	1140
806	1326	1139
807	1328	1137
808	1329	1135
809	1331	1134
810	1333	1132
811	1334	1130
812	1336	1129
813	1338	1127
814	1339	1125
815	1341	1124
816	1342	1122
817	1345	1121
818	1346	1119
819	1348	1117
820	1349	1116
821	1351	1114
822	1353	1113
823	1354	1111
824	1356	1109
825	1357	1108
826	1359	1106
827	1360	1104
828	1362	1102
829	1363	1100
830	1365	1099
831	1367	1097
832	1368	1096
833	1370	1094
834	1371	1092
835	1373	1090
836	1374	1088
837	1376	1087
838	1377	1085
839	1379	1083
840	1380	1082
841	1383	1080
842	1384	1079
843	1386	1077
844	1387	1075
845	1389	1074
846	1391	1072
847	1392	1070
848	1394	1069
849	1395	1067
850	1397	1065
851	1398	1063
852	1400	1062
853	1402	1060
854	1404	1059
855	1405	1057
856	1407	1055
857	1408	1054
858	1411	1052
859	1412	1051
860	1415	1050
861	1417	1048
862	1418	1047
863	1420	1045
864	1422	1044
865	1424	1042
866	1426	1041
867	1427	1039
868	1429	1037
869	1430	1036
870	1432	1034
871	1434	1032
872	1436	1031
873	1437	1029
874	1439	1028
875	1440	1026
876	1442	1024
877	1443	1022
878	1445	1021
879	1447	1019
880	1448	1018
881	1450	1016
882	1452	1014
883	1453	1012
884	1455	1011
885	1456	1009
886	1458	1007
887	1459	1006
888	1461	1004
889	1463	1002
890	1464	1001
891	1466	999
892	1468	998
893	1470	996
894	1471	994
895	1473	993
896	1474	991
897	1476	989
898	1477	987
899	1479	986
900	1481	985
901	1483	983
902	1484	981
903	1486	979
904	1488	978
905	1489	976
906	1491	974
907	1492	973
908	1494	971
909	1495	969
910	1497	968
911	1499	966
912	1501	965
913	1502	963
914	1504	961
915	1505	959
916	1507	958
917	1509	956
918	1510	954
919	1512	953
920	1513	951
921	1516	950
922	1517	948
923	1519	946
924	1520	945
925	1522	943
926	1523	941
927	1525	940
928	1526	938
929	1528	937
930	1530	935
931	1532	933
932	1533	932
933	1535	930
934	1537	928
935	1538	927
936	1540	925
937	1541	923
938	1543	922
939	1544	920
940	1547	919
941	1548	917
942	1549	915
943	1551	913
944	1552	911
945	1554	910
946	1555	908
947	1557	906
948	1558	905
949	1560	903
950	1562	902
951	1564	900
952	1566	899
953	1568	897
954	1570	896
955	1571	894
956	1573	892
957	1574	890
958	1576	889
959	1578	887
960	1579	885
961	1581	884
962	1583	882
963	1584	881
964	1586	879
965	1587	877
966	1589	875
967	1590	874
968	1592	872
969	1593	870
970	1595	869
971	1597	867
972	1598	865
973	1600	864
974	1601	862
975	1603	860
976	1604	859
977	1606	857
978	1607	855
979	1609	853
980	1610	852
981	1612	850
982	1614	848
983	1615	847
984	1617	845
985	1618	843
986	1620	842
987	1621	840
988	1623	838
989	1625	837
990	1626	835
991	1628	833
992	1630	832
993	1632	830
994	1633	829
995	1635	827
996	1636	825
997	1638	824
998	1640	822
999	1641	820
1000	1643	819
1001	1645	817
1002	1646	815
1003	1648	814
1004	1649	812
1005	1651	810
1006	1653	809
1007	1654	807
1008	1656	805
1009	1657	804
1010	1659	802
1011	1660	800
1012	1662	799
1013	1664	797
1014	1665	795
1015	1667	794
1016	1668	792
1017	1670	790
1018	1671	789
1019	1673	787
1020	1675	785
1021	1676	784
1022	1678	782
1023	1681	781
1024	1682	779
1025	1683	777
1026	1685	776
1027	1687	774
1028	1689	773
1029	1690	771
1030	1692	769
1031	1694	768
1032	1696	766
1033	1697	765
1034	1698	763
1035	1700	761
1036	1702	759
1037	1703	758
1038	1705	756
1039	1706	754
1040	1708	753
1041	1710	751
1042	1711	750
1043	1713	748
1044	1714	746
1045	1716	744
1046	1717	743
1047	1719	741
1048	1720	739
1049	1722	738
1050	1724	736
1051	1725	734
1052	1727	733
1053	1729	731
1054	1731	730
1055	1732	728
1056	1734	726
1057	1736	725
1058	1737	723
1059	1739	721
1060	1741	720
1061	1742	718
1062	1744	717
1063	1745	715
1064	1747	713
1065	1748	711
1066	1750	710
1067	1751	708
1068	1753	706
1069	1754	705
1070	1756	703
1071	1757	701
1072	1759	700
1073	1760	698
1074	1762	696
1075	1763	694
1076	1765	693
1077	1766	691
1078	1768	689
1079	1769	688
1080	1771	686
1081	1772	684
1082	1774	683
1083	1775	681
1084	1777	679
1085	1778	678
1086	1780	676
1087	1781	674
1088	1783	673
1089	1784	671
1090	1786	669
1091	1787	667
1092	1789	666
1093	1790	664
1094	1792	662
1095	1794	661
1096	1795	659
1097	1797	658
1098	1799	656
1099	1801	654
1100	1803	653
1101	1804	651
1102	1806	650
1103	1808	648
1104	1810	647
1105	1811	645
1106	1813	643
1107	1815	642
1108	1816	640
1109	1818	639
1110	1820	637
1111	1822	635
1112	1824	634
1113	1826	632
1114	1828	631
1115	1829	629
1116	1831	627
1117	1832	626
1118	1834	624
1119	1836	622
1120	1837	621
1121	1839	619
1122	1841	618
1123	1842	616
1124	1843	614
1125	1845	612
1126	1846	611
1127	1848	609
1128	1849	607
1129	1851	606
1130	1852	604
1131	1854	603
1132	1856	601
1133	1858	599
1134	1860	598
1135	1862	596
1136	1863	595
1137	1865	593
1138	1866	591
1139	1868	590
1140	1869	588
1141	1871	586
1142	1873	585
1143	1875	583
1144	1876	581
1145	1878	580
1146	1879	578
1147	1881	577
1148	1883	575
1149	1885	573
1150	1886	572
1151	1888	570
1152	1890	568
1153	1891	567
1154	1893	565
1155	1894	563
1156	1896	562
1157	1897	560
1158	1899	558
1159	1900	557
1160	1902	555
1161	1903	553
1162	1905	552
1163	1907	550
1164	1908	548
1165	1910	547
1166	1911	545
1167	1912	543
1168	1914	542
1169	1915	540
1170	1917	538
1171	1918	537
1172	1920	535
1173	1922	533
1174	1923	532
1175	1925	530
1176	1926	528
1177	1928	527
1178	1930	525
1179	1932	523
1180	1933	522
1181	1935	520
1182	1936	518
1183	1938	517
1184	1940	515
1185	1941	514
1186	1943	512
1187	1944	510
1188	1946	509
1189	1947	507
1190	1949	505
1191	1950	504
1192	1952	502
1193	1953	500
1194	1955	499
1195	1956	497
1196	1959	495
1197	1960	494
1198	1962	492
1199	1963	490
1200	1965	489
1201	1966	487
1202	1968	485
1203	1970	484
1204	1971	482
1205	1973	481
1206	1974	479
1207	1976	477
1208	1977	476
1209	1979	474
1210	1981	472
1211	1982	471
1212	1984	469
1213	1985	467
1214	1987	466
1215	1988	464
1216	1990	462
1217	1991	461
1218	1993	459
1219	1994	457
1220	1996	456
1221	1998	454
1222	1999	452
1223	2001	451
1224	2003	449
1225	2004	448
1226	2006	446
1227	2008	444
1228	2009	443
1229	2011	441
1230	2012	439
1231	2014	438
1232	2016	436
1233	2017	434
1234	2019	433
1235	2022	431
1236	2023	430
1237	2025	428
1238	2026	426
1239	2028	425
1240	2030	423
1241	2031	422
1242	2033	420
1243	2034	418
1244	2036	417
1245	2038	415
1246	2039	413
1247	2041	412
1248	2043	410
1249	2045	409
1250	2046	407
1251	2048	405
1252	2049	404
1253	2051	402
1254	2053	400
1255	2055	399
1256	2057	397
1257	2058	396
1258	2060	394
1259	2062	392
1260	2063	391
1261	2065	389
1262	2066	387
1263	2068	386
1264	2070	384
1265	2071	382
1266	2073	381
1267	2074	379
1268	2076	378
1269	2078	376
1270	2080	374
1271	2081	373
1272	2083	371
1273	2084	369
1274	2086	368
1275	2088	366
1276	2090	365
1277	2091	363
1278	2093	361
1279	2094	360
1280	2096	358
1281	2097	356
1282	2099	355
1283	2100	353
1284	2103	351
1285	2104	350
1286	2106	348
1287	2107	346
1288	2109	345
1289	2110	343
1290	2112	341
1291	2114	340
1292	2115	338
1293	2117	337
1294	2118	335
1295	2120	333
1296	2123	332
1297	2124	330
1298	2126	328
1299	2127	327
1300	2129	325
1301	2130	324
1302	2132	322
1303	2134	320
1304	2136	319
1305	2138	317
1306	2139	316
1307	2141	314
1308	2143	312
1309	2144	311
1310	2146	309
1311	2148	307
1312	2149	306
1313	2152	304
1314	2154	303
1315	2155	301
1316	2157	299
1317	2158	298
1318	2160	296
1319	2162	294
1320	2163	293
1321	2165	291
1322	2167	289
1323	2168	288
1324	2170	286
1325	2171	284
1326	2173	283
1327	2174	281
1328	2177	280
1329	2179	278
1330	2181	277
1331	2184	275
1332	2185	273
1333	2187	272
1334	2189	270
1335	2190	268
1336	2192	267
1337	2194	265
1338	2195	264
1339	2197	262
1340	2198	260
1341	2200	259
1342	2202	257
1343	2203	255
1344	2205	254
1345	2206	252
1346	2208	250
1347	2209	249
1348	2211	247
1349	2212	245
1350	2214	244
1351	2215	242
1352	2217	240
1353	2219	239
1354	2220	237
1355	2222	235
1356	2223	234
1357	2225	232
1358	2226	231
1359	2228	229
1360	2230	227
1361	2231	226
1362	2233	224
1363	2234	222
1364	2236	221
1365	2237	219
1366	2239	217
1367	2240	216
1368	2242	214
1369	2243	212
1370	2245	211
1371	2246	209
1372	2248	207
1373	2249	206
1374	2251	204
1375	2252	202
1376	2253	201
1377	2255	199
1378	2256	198
1379	2258	196
1380	2260	194
1381	2261	193
1382	2263	191
1383	2264	189
1384	2266	188
1385	2267	186
1386	2269	184
1387	2270	183
1388	2272	181
1389	2273	179
1390	2275	178
1391	2276	176
1392	2278	175
1393	2279	173
1394	2281	171
1395	2282	170
1396	2284	168
1397	2285	166
1398	2287	165
1399	2288	163
1400	2290	161
1401	2292	160
1402	2293	158
1403	2295	156
1404	2296	155
1405	2298	153
1406	2299	152
1407	2301	150
1408	2302	148
1409	2304	147
1410	2306	145
1411	2307	143
1412	2309	142
1413	2310	140
1414	2312	138
1415	2314	137
1416	2315	135
1417	2317	134
1418	2319	132
1419	2320	130
1420	2322	129
1421	2323	127
1422	2325	125
1423	2327	124
1424	2328	122
1425	2330	120
1426	2332	119
1427	2334	117
1428	2336	116
1429	2338	114
1430	2339	112
1431	2341	111
1432	2343	109
1433	2344	107
1434	2346	106
1435	2348	104
1436	2349	103
1437	2351	101
1438	2353	99
1439	2354	98
1440	2356	96
1441	2357	94
1442	2359	93
1443	2360	91
1444	2362	89
1445	2363	88
1446	2365	86
1447	2367	85
1448	2368	83
1449	2370	81
1450	2371	80
1451	2373	78
1452	2375	76
1453	2376	75
1454	2378	73
1455	2379	71
1456	2381	70
1457	2383	68
1458	2384	67
1459	2386	65
1460	2387	63
1461	2389	62
1462	2391	60
1463	2392	58
1464	2394	57
1465	2396	55
1466	2398	53
1467	2400	52
1468	2401	50
1469	2403	49
1470	2405	47
1471	2406	45
1472	2408	44
1473	2409	42
1474	2411	40
1475	2413	39
1476	2415	37
1477	2416	35
1478	2418	34
1479	2419	32
1480	2421	31
1481	2423	29
1482	2424	27
1483	2426	26
1484	2427	24
1485	2429	22
1486	2431	21
1487	2433	19
1488	2435	17
1489	2436	16
1490	2438	14
1491	2439	13
1492	2441	11
1493	2442	9
1494	2444	8
1495	2446	6
1496	2447	4
1497	2449	3
1498	2451	1
1499	2452	0
